model_a,model_b,layer,metric,boot_mean,ci_low,ci_high,n_boot,boot_sample_size
codegemma_2b,gemma3_1b_it,layer_12,cka,0.7087537899613381,0.669225987792015,0.7381888508796691,40,180
codegemma_2b,gemma3_1b_it,layer_12,rsa_spearman,0.8409412669463704,0.8161035078293732,0.8657990219159407,40,180
codegemma_2b,gemma3_1b_it,layer_4,cka,0.905919973552227,0.8951730087399483,0.9181915372610092,40,180
codegemma_2b,gemma3_1b_it,layer_4,rsa_spearman,0.7447742593816787,0.700412739869436,0.7856181910457061,40,180
codegemma_2b,gemma3_1b_it,layer_8,cka,0.6371916130185127,0.6041661068797112,0.6659710317850113,40,180
codegemma_2b,gemma3_1b_it,layer_8,rsa_spearman,0.8074709269845917,0.7806565820677385,0.8472930224043621,40,180
codegemma_2b,gemma3_1b_pt,layer_0,cka,0.7680443540215492,0.725441874563694,0.8066060721874236,40,180
codegemma_2b,gemma3_1b_pt,layer_0,rsa_spearman,0.8132796990068174,0.7881482146197847,0.8397948080029922,40,180
codegemma_2b,gemma3_1b_pt,layer_12,cka,0.6327676221728324,0.5969861149787903,0.6680913269519806,40,180
codegemma_2b,gemma3_1b_pt,layer_12,rsa_spearman,0.8055594878001682,0.7749459103857003,0.8375488218159263,40,180
codegemma_2b,gemma3_1b_pt,layer_4,cka,0.9363783106207848,0.9256246611475945,0.9454538613557816,40,180
codegemma_2b,gemma3_1b_pt,layer_4,rsa_spearman,0.6741142421095055,0.6368393703602653,0.7181832303676976,40,180
codegemma_2b,gemma3_1b_pt,layer_8,cka,0.6065243929624557,0.5834025800228119,0.6408899813890457,40,180
codegemma_2b,gemma3_1b_pt,layer_8,rsa_spearman,0.733907201934032,0.7003473933134494,0.7643820792019376,40,180
codegemma_2b,gemma3_4b_it,layer_0,cka,0.7719689190387726,0.7304070994257927,0.8109815314412117,40,180
codegemma_2b,gemma3_4b_it,layer_0,rsa_spearman,0.8244273983950977,0.8016992350985159,0.8547390329709059,40,180
codegemma_2b,gemma3_4b_it,layer_12,cka,0.4730133146047592,0.39913639053702354,0.521953247487545,40,180
codegemma_2b,gemma3_4b_it,layer_12,rsa_spearman,0.8884023848479286,0.8611123501204754,0.9049774319049512,40,180
codegemma_2b,gemma3_4b_it,layer_4,cka,0.9632059574127197,0.9601729184389114,0.9654997363686562,40,180
codegemma_2b,gemma3_4b_it,layer_4,rsa_spearman,0.7230936867280204,0.6989079331671381,0.7546587875770217,40,180
codegemma_2b,gemma3_4b_it,layer_8,cka,0.5812955878674984,0.5288396023213864,0.61370899528265,40,180
codegemma_2b,gemma3_4b_it,layer_8,rsa_spearman,0.8523476183567439,0.8223719289750577,0.8723493157773463,40,180
codegemma_2b,gemma3_4b_pt,layer_0,cka,0.7725483268499375,0.7307141467928886,0.8121576055884361,40,180
codegemma_2b,gemma3_4b_pt,layer_0,rsa_spearman,0.8217791815503208,0.7992828136583181,0.8514615266622992,40,180
codegemma_2b,gemma3_4b_pt,layer_12,cka,0.48674966096878053,0.4383655034005642,0.5214743643999099,40,180
codegemma_2b,gemma3_4b_pt,layer_12,rsa_spearman,0.8828578002891618,0.866185657639605,0.8996275792887307,40,180
codegemma_2b,gemma3_4b_pt,layer_4,cka,0.9335717901587486,0.9234568566083908,0.9434238940477371,40,180
codegemma_2b,gemma3_4b_pt,layer_4,rsa_spearman,0.7204373770232684,0.6987812306801393,0.7552019506513115,40,180
codegemma_2b,gemma3_4b_pt,layer_8,cka,0.5952286809682846,0.5492688253521919,0.6313959956169128,40,180
codegemma_2b,gemma3_4b_pt,layer_8,rsa_spearman,0.8604367635613898,0.8424263023463837,0.8800190266694553,40,180
codegemma_2b,lfm2_5_1_2b_base,layer_0,cka,0.7915259838104248,0.7535875603556633,0.8280058279633522,40,180
codegemma_2b,lfm2_5_1_2b_base,layer_0,rsa_spearman,0.8052343549274468,0.7852939870647981,0.8330501398191102,40,180
codegemma_2b,lfm2_5_1_2b_base,layer_12,cka,0.9482184112071991,0.9418715104460716,0.9556548148393631,40,180
codegemma_2b,lfm2_5_1_2b_base,layer_12,rsa_spearman,0.8702741697595429,0.8356136437631186,0.8980722809223189,40,180
codegemma_2b,lfm2_5_1_2b_base,layer_4,cka,0.968094588816166,0.9635379567742348,0.972546860575676,40,180
codegemma_2b,lfm2_5_1_2b_base,layer_4,rsa_spearman,0.6506128213405917,0.6015124815609797,0.6950264186135422,40,180
codegemma_2b,lfm2_5_1_2b_base,layer_8,cka,0.9645030811429024,0.9601999059319496,0.9690469026565551,40,180
codegemma_2b,lfm2_5_1_2b_base,layer_8,rsa_spearman,0.886242116786271,0.8599137508915521,0.907246515555986,40,180
codegemma_2b,lfm2_5_1_2b_instruct,layer_0,cka,0.7919289842247963,0.7546428173780442,0.8286617994308472,40,180
codegemma_2b,lfm2_5_1_2b_instruct,layer_0,rsa_spearman,0.805618425936699,0.7865433284635677,0.8331048042505355,40,180
codegemma_2b,lfm2_5_1_2b_instruct,layer_12,cka,0.9073842316865921,0.89517190605402,0.9204407185316086,40,180
codegemma_2b,lfm2_5_1_2b_instruct,layer_12,rsa_spearman,0.8603529319654228,0.8220900903444697,0.9005064137325478,40,180
codegemma_2b,lfm2_5_1_2b_instruct,layer_4,cka,0.9758415162563324,0.9720892995595932,0.979070921242237,40,180
codegemma_2b,lfm2_5_1_2b_instruct,layer_4,rsa_spearman,0.7781481993273622,0.7313126501580781,0.8118002926655224,40,180
codegemma_2b,lfm2_5_1_2b_instruct,layer_8,cka,0.9355706796050072,0.9290605828166008,0.9423121869564056,40,180
codegemma_2b,lfm2_5_1_2b_instruct,layer_8,rsa_spearman,0.8542115973949247,0.8303162005151591,0.8814387252694432,40,180
codegemma_2b,lfm2_5_1_2b_thinking,layer_0,cka,0.7936230540275574,0.7563950777053833,0.8297411292791367,40,180
codegemma_2b,lfm2_5_1_2b_thinking,layer_0,rsa_spearman,0.7919501634760608,0.7744715299031688,0.8183813602744374,40,180
codegemma_2b,lfm2_5_1_2b_thinking,layer_12,cka,0.8828430384397506,0.8709638506174088,0.896548469364643,40,180
